filename,Class 0- No endodontic treatment,Class 1- complete endodontic treatment,Class 2- incomplete endodontic treatment,cavity
ptf-111-_jpg.rf.9850bfd3f0260f61557aa08ff14e31bf.jpg,1,0,0,1
ptf-301-_jpg.rf.f40de7e40fd4447b28e8b8a5111c9998.jpg,0,1,0,0
ptf-201-_jpg.rf.07d9a817abc9f5633cf5a46c32c4f45f.jpg,1,1,0,0
ptf-1-_jpg.rf.f087e90fc016207ee6f10f3243894664.jpg,1,1,1,1
ptf-246-_jpg.rf.bba6fb485dbd449e530dd43e5060c7e4.jpg,0,0,1,0
ptf-367-_jpg.rf.77d1085321b4b6f4b6ebdf9c9018d54c.jpg,0,0,1,0
ptf-340-_jpg.rf.523543c07f9c1e904df67efac287758b.jpg,0,1,0,0
ptf-259-_jpg.rf.a87c124c083a81b54254c1283ebc3ddf.jpg,0,0,1,0
ptf-378-_jpg.rf.8339fe86de7701a75d152ad6eb8131ab.jpg,0,1,0,0
ptf-15-_jpg.rf.be391aca1e4a918fb9f1c43e006efa34.jpg,1,0,0,0
ptf-29-_jpg.rf.9887ae3051e26b0fd37658971a86c2ca.jpg,1,0,0,0
ptf-133-_jpg.rf.a8687d3dcab14861cc2c65c0c9c45a4b.jpg,1,0,0,0
ptf-345-_jpg.rf.053dc0b6489d136e1e09f35c73892218.jpg,0,1,0,0
ptf-193-_jpg.rf.e4744283529aad68720592e9735ed1d5.jpg,1,0,0,0
ptf-99-_jpg.rf.dc3f72e78e2127f5fc9f6c98525821cb.jpg,1,0,0,0
ptf-149-_jpg.rf.9b33e5db708f3acc604eafca7f614603.jpg,0,1,0,1
ptf-119-_jpg.rf.ca15dcc12627ac9725e52eecc499f9cc.jpg,0,0,0,1
ptf-330-_jpg.rf.9bc3660cb567204afeea33c066134752.jpg,0,1,0,1
ptf-312-_jpg.rf.15eeabafc37d4a539d2cd000f31c9d84.jpg,1,1,0,0
ptf-348-_jpg.rf.0397dc19c5d46293d336269e7f09d0c0.jpg,1,1,0,0
ptf-417-_jpg.rf.0876f238113fbc8f350ab139e4dbd56b.jpg,0,1,0,0
ptf-309-_jpg.rf.1e854b64eda1d1a6370c5f3f2bbcc8b7.jpg,1,0,1,0
ptf-336-_jpg.rf.30f1bf0917dc9b692dfd15b40a368ec6.jpg,0,1,0,0
ptf-32-_jpg.rf.82b6262a31c47710f8049c6e6d31e281.jpg,1,1,0,0
ptf-287-_jpg.rf.10ff21cf36ebcc62c332be97b6296186.jpg,0,0,1,0
ptf-76-_jpg.rf.c49f14d8a1bd3338090eef35c0fc7484.jpg,0,0,1,0
ptf-100-_jpg.rf.34e56112b0b5aeb5ad6f94a834f20111.jpg,1,0,0,0
ptf-243-_jpg.rf.0f003776937691f23c5feee4750f0e19.jpg,0,1,0,0
ptf-247-_jpg.rf.267e78a669e83fe0a0cfe72a535014cf.jpg,0,1,0,1
ptf-144-_jpg.rf.9be15cacf783d504928534c60746b76b.jpg,1,0,0,0
ptf-397-_jpg.rf.da407c870a970618e9458a843c14b901.jpg,0,0,1,0
ptf-359-_jpg.rf.111653b5f37716d093d18e5013e18b9e.jpg,0,1,0,0
ptf-112-_jpg.rf.125e5ab35b41f8a6f9fa380ad4f35de3.jpg,1,0,0,0
ptf-421-_jpg.rf.4be0df11b1dd2b327cded5647fb5fd1a.jpg,0,0,1,0
ptf-71-_jpg.rf.3a28b3eb63195cbda894b21702d1e5b0.jpg,1,0,0,0
ptf-187-_jpg.rf.1edf019343d2e8dd94ace21c1cb55e63.jpg,1,1,0,1
ptf-282-_jpg.rf.73ea39f2c3a086ab7adc29bd99d6e2b9.jpg,0,0,1,1
ptf-153-_jpg.rf.0c3123d6f4a4b66d495dfe4b7f69a2ab.jpg,0,0,1,0
ptf-346-_jpg.rf.694e3b0474f6ea6100c4293a94600eb9.jpg,0,1,0,0
ptf-35-_jpg.rf.324e18be5044a1557999028bb220f079.jpg,1,0,0,0
ptf-422-_jpg.rf.29fda94cfbffe46dfc7328a399593f6e.jpg,0,0,1,0
ptf-256-_jpg.rf.9be1dac053c2a6999cb093498739a602.jpg,0,1,0,0
ptf-308-_jpg.rf.b588b0f360552e86f742ddc4e7dd8577.jpg,0,1,0,1
ptf-244-_jpg.rf.d63a6db85120e2fdf0c48e65ee815fcb.jpg,0,1,0,0
ptf-95-_jpg.rf.5a84955f72df84c9ba9c086ee1bcd49e.jpg,1,0,0,1
ptf-4-_jpg.rf.cf9722d99d5c8396b6898520ff2596b9.jpg,0,0,0,1
ptf-232-_jpg.rf.8fd4744f49eaeaf2e5f3e53180f9c4bf.jpg,0,1,0,0
ptf-341-_jpg.rf.a7ee72d93bdaa590f6a5a7b17e6dd50d.jpg,1,1,0,0
ptf-38-_jpg.rf.14414f0492d23ffeb3dc9cd46b48e342.jpg,1,0,0,1
ptf-131-_jpg.rf.ae20a170a6b9488d0bb46f9900be8c90.jpg,1,0,0,0
ptf-337-_jpg.rf.589f5e14947299afd9ba95d3d98c8744.jpg,0,1,0,1
ptf-270-_jpg.rf.a94d71c510d33f9a75666e026f36ad48.jpg,1,1,0,1
ptf-300-_jpg.rf.3e54b020a5143dc82d31f4a13d1182ed.jpg,0,0,1,1
ptf-423-_jpg.rf.bbde16d2a917f57cbcdcb7670a961905.jpg,1,1,0,0
ptf-310-_jpg.rf.732d189e901e89d32e24d6d4a96a575f.jpg,1,0,1,0
ptf-30-_jpg.rf.a00feda244044aab44b4e76f88264596.jpg,0,0,0,1
ptf-333-_jpg.rf.1cdd34d31e0fdbed9da6aa2e4be61495.jpg,1,0,1,0
ptf-212-_jpg.rf.32d5a675f8a18ef68eb3c214238116b8.jpg,1,0,0,0
ptf-223-_jpg.rf.84f15cdd137e37c94b66f09f319ceb2d.jpg,0,0,1,0
ptf-350-_jpg.rf.2f2944ee3e42c7d4a88504d42221c7e4.jpg,0,1,0,0
ptf-375-_jpg.rf.5bd3dac05ed1bf73a67127a3361f61f3.jpg,0,0,1,0
ptf-94-_jpg.rf.2204a72e4d779cbf77c6b0929e72806a.jpg,0,1,0,0
ptf-267-_jpg.rf.6ada49df951822db31cc50769fdf1666.jpg,0,1,1,1
ptf-156-_jpg.rf.37e30534e1409817fb440bbd0de28857.jpg,0,1,0,0
ptf-183-_jpg.rf.fca335aa8cb95b2109decf138198e0af.jpg,1,0,0,1
ptf-361-_jpg.rf.7dea2a32fd286ce59758e7c658ee3053.jpg,0,0,1,0
ptf-148-_jpg.rf.1fc9529169f1422da1dfbfec50f8b70c.jpg,1,0,0,1
ptf-34-_jpg.rf.fa05e5fe0fe8f48187f32e0100fd6c47.jpg,1,0,0,1
ptf-302-_jpg.rf.d05d0e59a1c2040d5802b62f9450d534.jpg,0,1,0,0
ptf-61-_jpg.rf.00df0c8400480af92678975956fb82a2.jpg,1,0,0,0
ptf-158-_jpg.rf.b03da2403b20c9530bf6bae503da7d33.jpg,1,0,0,0
ptf-18-_jpg.rf.0730676e0e0184f478fcd38ef262bfae.jpg,1,0,0,0
ptf-206-_jpg.rf.eff1557aac8ca103025af6e05db3db91.jpg,0,1,0,1
ptf-145-_jpg.rf.df66214cb2fd07d03730303e432ecefe.jpg,0,1,0,0
ptf-197-_jpg.rf.d5c0e1ea25df7007d215d22eff62fbbc.jpg,0,0,1,1
ptf-271-_jpg.rf.555dba841c1cdc1848e3596e072152f8.jpg,0,1,0,1
ptf-7-_jpg.rf.d3279f6ae41c2ecd0fac01698e83f4f7.jpg,0,1,0,1
ptf-218-_jpg.rf.b42874bf3232a391e23e7f79a0ea3340.jpg,0,1,0,0
